informative_1,informative_2,target,class,corr_feature_class,multicollinearity 1,multicollinearity 2,multicollinearity 3,multicollinearity 4,uniform corr 1,uniform corr 2,outliers 1,outliers 2,standard scaling,min max scaling,login_id
-0.5999914156799038,0.7787067572659149,1.712702128961482,1,4.927428532010885,-0.39087248677398817,-0.568877313044033,-1.0046634653375528,-0.6494333937260818,0.5439793869109532,0.47101396365439213,,4.971037406836116,63487.681905612415,387.38443138997184,jeffery05
0.7785467614517376,1.121790719131417,2.0079777061171713,0,-0.05143013581261835,-0.15795357941389634,,-0.6293509641624224,,0.6288016578159884,0.832381927039187,0.04532469701877159,2.6133099032031915,34009.88411889636,383.5562500883438,grossdwayne
1.0919964166593559,-0.22771054122961532,-0.7078686787735977,0,0.7518649311599708,,1.9222811487938993,0.10649280020930904,-0.23721517877966034,0.30675673369675416,0.5041334553657184,-0.7987046464217976,4.175942852592803,50804.92517526212,437.4508521453865,keith69
1.271943021843361,-0.07273303816595056,-0.4544992449838176,1,4.081615946572057,,-2.481916420392874,-0.0028993610933419805,-0.277014937694984,0.3531338606223371,0.24825920681817937,-1.654833105291888,2.588076411565752,42501.77486384166,380.31688714061585,ukrueger
1.629401100174011,-0.1038433397185583,-0.61201988308104,0,0.5324672559631951,0.04019859465818024,0.47334431870603894,-0.4594703200000104,-0.13471242083583437,0.3030456172170565,0.7304679740686736,2.332820438385074,-0.07375208350877305,51443.340368070305,375.68784427387305,ramirezkevin
-1.8714859847565173,-0.6325915055648428,-0.6941051578100469,0,4.333822713088378,,,-0.5598751169451133,0.4194450662441616,0.5697932851196054,0.23011941467803632,-1.3801785295005402,2.331012742053926,45137.858445697915,247.70794144036435,samanthasimmons
-0.2565254773690606,-0.1657317348386389,-0.22159373702162935,0,3.810022149032343,-1.005576353265953,-0.17161890485226242,1.1444522913801,1.8282306495226224,0.4683437014566767,,0.01492292714506783,5.777150465776905,25239.759750343044,370.5618623160092,nicholas17
0.506466828546235,0.35662861811789637,0.5899986813998903,1,0.17393558547930832,2.098647594349895,1.3055684634593603,-1.6927347268352517,,0.6694325212220413,0.7832486772747338,3.086526231764122,3.5532311512917794,,291.69935481038374,emeyers
1.1994000705538508,-0.916373476917703,-2.079548550022611,0,-0.4992523913138598,,0.27942930570793756,1.220438460894276,1.5905735713913642,0.08404048854223417,0.5976545478749389,-0.975731792327442,3.454597996859548,38011.498918519974,299.1281655246262,joseph40
0.3989464765385383,-1.2597432808641265,-2.5320403950698913,1,0.5141408155416001,,-0.723521545853773,0.37392000232593847,1.082475171522889,0.630593182209082,,-1.6002353297376062,2.473582325683439,57391.02840602082,333.755132928784,
1.2795757178139286,-0.5444306488323449,-1.3761595997621217,0,2.0681585991023472,,0.5362549104372077,-0.22022566425001985,-0.31093875869387505,0.277908549860207,0.14701451078483307,-0.7844163216697846,4.622564756797679,66836.18819743316,672.462388919381,jeffery78
1.4139780806552182,1.3597445125093326,2.29967763398219,1,3.285892169352291,0.8159768913368088,0.2847536429167826,-0.05790345135174137,0.4544683708785173,0.8883518246711268,0.8381102476430065,0.5663284445195979,5.795442877322809,79447.32208562567,395.57848116388254,hillwilliam
1.5255832700503016,-0.4289498492289622,-1.2176927465693046,0,4.384552466347134,,-0.5046915329242306,0.08448996422996473,0.19819169570812487,0.4782140801862573,0.7076667697935121,-0.20211160895053862,3.2820460208669635,50463.37423941593,413.1057430124977,jasonmiller
-0.6943761221796549,-2.800407787918007,-5.239335968652263,0,-0.03625339948738082,,2.1673984250411475,-0.8629419476448755,-0.972784630678986,0.12981743782802518,0.03641933427100535,-0.21688658697934796,-2.6216518944043194,49630.573938931695,438.66880862423767,matthew68
